Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A,Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid,NIH_Food_Group
Bologna sausage,Meat,11.0,247.0,73.0,59.0,8.0,20.0,0.0,5.0,77.0,14.0,97.0,73.0,0.0,0.0,0.0,139.0,21.0,281.0,15.0,68.0,13.0,907.0,,0.0,0.0,52.0,93.0,16.0,39.0,72.0,27.0,0.0,2.0,54.0,,48.0,66.0,12.0,12.0,4.0,41.0,59.0,,0.0,64.0,15.0,74.0,14.0,26.0,3.0,,,,,,,,Protein Foods
Braunschweiger,Meat,9.0,327.0,31.0,180.0,24.0,29.0,0.0,44.0,11.0,11.0,13.0,31.0,0.0,0.0,0.0,168.0,32.0,199.0,15.0,93.0,58.0,977.0,,14051.0,4220.0,25.0,20.0,15.0,84.0,34.0,33.0,0.0,28.0,256.0,,32.0,48.0,1.0,91.0,16.0,31.0,55.0,,0.0,53.0,15.0,62.0,12.0,35.0,16.0,,,,,,,,Protein Foods
Chorizo,Meat,8.0,455.0,19.0,88.0,8.0,38.0,0.0,2.0,16.0,18.0,18.0,19.0,0.0,0.0,0.0,150.0,35.0,398.0,24.0,14.0,21.0,1235.0,,0.0,0.0,63.0,2.0,3.0,51.0,11.0,53.0,0.0,34.0,97.0,,72.0,22.0,17.0,24.0,4.0,47.0,11.0,,0.0,15.0,28.0,91.0,15.0,22.0,16.0,,,,,,,,Protein Foods
Headcheese,Meat,16.0,157.0,0.0,69.0,12.0,11.0,0.0,2.0,15.0,9.0,56.0,0.0,0.0,0.0,0.0,56.0,11.0,31.0,14.0,34.0,1.0,941.0,,0.0,0.0,2.0,11.0,12.0,44.0,,19.0,0.0,97.0,104.0,,,,,,,,,,0.0,,,,9.0,25.0,34.0,,,,,,,,Protein Foods
Knackwurst,Meat,11.0,307.0,32.0,60.0,6.0,28.0,0.0,2.0,66.0,11.0,13.0,32.0,0.0,0.0,0.0,98.0,29.0,199.0,11.0,10.0,14.0,930.0,,0.0,0.0,34.0,12.0,14.0,27.0,32.0,17.0,0.0,17.0,55.0,,31.0,64.0,87.0,1.0,2.0,28.0,5.0,,0.0,43.0,14.0,64.0,11.0,57.0,16.0,,,,,,,,Protein Foods
Leberkäse,Meat,8.0,304.0,21.0,174.0,38.0,26.0,0.0,104.0,11.0,12.0,12.0,21.0,0.0,0.0,0.0,207.0,34.0,226.0,15.0,9.0,37.0,1225.0,,17490.0,5252.0,21.0,25.0,22.0,12.0,35.0,47.0,3.0,37.0,,,39.0,63.0,13.0,12.0,2.0,34.0,72.0,,,65.0,21.0,81.0,,,,,,,,,,,Protein Foods
Roast beef,Meat,5.0,115.0,64.0,51.0,9.0,37.0,0.0,5.0,21.0,20.0,15.0,64.0,0.0,1.0,1.0,242.0,27.0,647.0,19.0,13.0,15.0,853.0,15.0,11.0,3.0,4.0,2.0,21.0,56.0,57.0,46.0,0.0,32.0,44.0,0.0,,,,,2.0,,,,29.0,,,,0.0,49.0,16.0,2.0,0.0,0.0,0.0,1.0,14.0,,Protein Foods
Luncheon meat,Meat,5.0,189.0,1.0,78.0,3.0,13.0,0.0,0.0,97.0,18.0,57.0,1.0,0.0,0.0,0.0,170.0,16.0,300.0,18.0,39.0,38.0,820.0,,0.0,0.0,13.0,92.0,21.0,52.0,61.0,27.0,0.0,22.0,64.0,,,,,,4.0,,,,0.0,,,,,16.0,0.0,,6.0,,,,,,Protein Foods
Mortadella,Meat,18.0,311.0,31.0,56.0,6.0,25.0,0.0,3.0,14.0,11.0,11.0,31.0,0.0,0.0,0.0,97.0,31.0,163.0,16.0,95.0,23.0,1246.0,,0.0,0.0,12.0,15.0,153.0,27.0,44.0,13.0,0.0,21.0,72.0,,52.0,71.0,12.0,13.0,3.0,39.0,6.0,,0.0,63.0,15.0,74.0,1.0,22.0,16.0,,,,,,,,Protein Foods
Chicken liver pate,Meat,10.0,201.0,66.0,391.0,18.0,13.0,0.0,321.0,92.0,13.0,53.0,66.0,0.0,0.0,0.0,175.0,25.0,95.0,13.0,4.0,46.0,386.0,,724.0,217.0,5.0,81.0,14.0,75.0,26.0,26.0,10.0,21.0,229.0,,35.0,74.0,12.0,95.0,16.0,34.0,69.0,,0.0,6.0,2.0,86.0,0.0,98.0,0.0,,,,,,,,Protein Foods
Pâté,Meat,70.0,319.0,15.0,255.0,4.0,28.0,0.0,60.0,55.0,13.0,12.0,15.0,0.0,0.0,0.0,200.0,32.0,138.0,14.0,96.0,42.0,697.0,,3300.0,991.0,3.0,32.0,6.0,33.0,12.0,6.0,2.0,29.0,,,3.0,55.0,11.0,84.0,12.0,28.0,58.0,,,57.0,16.0,77.0,,,,,,,,,,,Protein Foods
Pepperoni,Meat,19.0,504.0,12.0,97.0,9.0,46.0,0.0,5.0,13.0,18.0,21.0,12.0,0.0,2.0,0.0,158.0,45.0,274.0,19.0,18.0,29.0,1582.0,15.0,0.0,0.0,27.0,13.0,26.0,5.0,93.0,36.0,0.0,24.0,51.0,0.0,69.0,9.0,16.0,17.0,11.0,51.0,78.0,,0.0,87.0,23.0,99.0,13.0,1.0,58.0,16.0,14.0,0.0,2.0,4.0,36.0,,Protein Foods
Salami,Meat,15.0,336.0,24.0,89.0,36.0,26.0,0.0,3.0,16.0,19.0,11.0,24.0,0.0,0.0,0.0,191.0,25.0,316.0,22.0,93.0,31.0,1740.0,59.0,0.0,0.0,37.0,15.0,36.0,61.0,12.0,46.0,0.0,29.0,94.0,0.0,36.0,68.0,93.0,11.0,98.0,3.0,48.0,,96.0,52.0,11.0,67.0,1.0,22.0,32.0,13.0,8.0,0.0,,,21.0,,Protein Foods
Cervelat,Meat,9.0,362.0,33.0,74.0,15.0,30.0,0.0,2.0,2.0,14.0,13.0,33.0,0.0,0.0,0.0,111.0,12.0,260.0,17.0,12.0,20.0,1300.0,,0.0,0.0,15.0,55.0,33.0,43.0,,26.0,17.0,26.0,79.0,,,,,,,,,,85.0,,,,11.0,22.0,13.0,,,,,,,,Protein Foods
Vienna sausage,Meat,10.0,230.0,26.0,87.0,3.0,19.0,0.0,4.0,88.0,7.0,96.0,26.0,0.0,0.0,0.0,49.0,13.0,101.0,11.0,71.0,17.0,879.0,,0.0,0.0,9.0,1.0,11.0,16.0,35.0,12.0,0.0,16.0,44.0,,27.0,56.0,8.0,79.0,,27.0,43.0,,0.0,36.0,11.0,57.0,6.0,22.0,16.0,,,,,,,,Protein Foods
Italian sausage,Meat,21.0,344.0,43.0,57.0,8.0,27.0,1.0,5.0,14.0,18.0,17.0,42.0,0.0,0.0,0.0,170.0,35.0,304.0,19.0,10.0,22.0,743.0,,16.0,10.0,62.0,13.0,23.0,42.0,,33.0,1.0,24.0,78.0,,58.0,73.0,13.0,15.0,,49.0,67.0,,19.0,79.0,16.0,8.0,1.0,25.0,34.0,,,,,,,,Protein Foods
